scenario_id,frame_index,image_path,image_sha256,label_sha256,frame_sha256,person_gt,vehicle_gt
S0,1,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0001.png,8CF5CE0208CE8FEDB0F4B78682FE8C1F67E83E05676175FFD9A721795527C8F6,D1527221D89BB2CD30C4EA70DF9AFF4B0057EA2F0FCED184EFEF014F13052CE7,BE5CAC49DC81F90DD3BE2CC1F2C695B16E1DAFAAAB5B7019A4DC397C942B8B33,1,0
S0,2,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0002.png,3E9870FC1E9E0F4E02CFAEA9ED89119FB313A4A9E9522C24EBB806C13B83D4A1,A9277D42D471950935D4F63CA96092337A6DA8307CFD3117FF8DBD64E8710347,15D363AE8DC67F3C60C035E32379F54EBA7C4EAADEE2FB2A9F2BD30BBF0FF6C5,2,0
S0,3,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0003.png,90A13399487D660A106BEBFDD9A24E595969BC9579EE27D35E3A5954A50F6AF0,EEA138CF5BD3214F0ED8765D9CF597271DDD20ED2F7B882EA9DA206EB9FC647F,2F0A5F29399A445ED45FC2F8C4C445D740EBE9F779A315CB1010AC342A549226,2,0
S0,4,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0004.png,07AD15ED47776357BF97E747E0A1C79BB8DC14FBA852782E510AEC00038BA044,A28069D75191D335EA9113EAAE69D2EE06008A6A000A707B712A53BFDD7DB013,CE1A2559B0ED7F6FD0E553485BB35E7BA9440B957DB52BFBD2290EEF752136A7,2,0
S0,5,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0005.png,F1186A9F16836B046A0EAD70C92D324BFCE2D5E4A6600DD824D47B4ACCDA78E8,B4D4E227A493C6E63CD5ED3E66EC6BD9EC8C023BD12DB9539C3515A441B70D3C,E95EF94D1FA1E4FC60BE68794B2B170F05B8B303FA49FF3FB0E31CC01EB34D0A,2,0
S0,6,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0006.png,C4F36D804B0D9493637042C553C3AC2CE435892CEC699910A67F35A0A5E992F2,69FEDF9B723366A50341B0E1C935073BB6F6B4E3A1FCDAAABF56F6CB7720E8E3,8C2258E33D9F276166ADEBD5679BD3D53FEE182256ED422A85AC89D9B6E4D09C,2,0
S0,7,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0007.png,1EBBE6B1244778C19D51A5F8385DE7464355AA8B24C7B4D78FBF8ECC6ED7A446,AB1BC99E9F59556CC8E5B95D12B7D86C902D06FF5B88F6836875E2258D337DA7,CB54580B799A8250E5EECBE0FF56E96CFA6B38BB6433102E77FE0C52C40ED49E,2,0
S0,8,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0008.png,BE48680F7455125B7741C122010C5BDA77A5D5D694D73CB14CC17B311AAFC747,3061559260EEB0156B644C1E1F99DE724D72B71C69F908CA2C178CC7E3871614,F86F5081FD517FE52FE95D4F0F7CA8FB593F71E5EB60254CC9B03FE000A2D4E1,2,0
S0,9,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0009.png,2D565AD29022D1451F2014005E1D7F42B4E7083B1828770670B5D61D52DC6938,744680BC3CB429A67A2DF4D7B84A8C6959F0444F3F081245BECE1B317F5D6C95,8014EDE9171BD6DCBD9B9D0874BF412A15B4C906F7396F0E8A93192C3E3C152F,2,0
S0,10,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\multi_scenario_symmetric\scenarios\multi_scenario_symmetric_plan_v2\S0\initial_condition\frames\frame_0010.png,3B594CBCBC210069F93103F59A183DED7757948E077D18E74A5BE20288663BEF,AB2D0EA2B08FEADC0F342CCC2E167C0C4F96E2F919A91408668A549BFCCAF8EB,14DFA67EBDB0286C32F08091D6371FA8AE499D17273FB4845EEB63E8F470D04F,2,0
