scenario_id,seed,source_frame_number,time_seconds,uav_xyz,image_path,label_path,image_sha256,label_sha256,frame_pair_sha256,perceptual_dhash64,person_gt,vehicle_gt,label_empty,split
T01_east_level_low,4101,1,0.0,"[-32, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0001.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0001.txt,B6DFC0B74A86C20C68E680F7075ED47197315A9C5C6D93405FCE5FC5E6C0CE80,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,FC7FECFA1B51369C032F8D8FD74C9BB0B46CB8BC54FA11E9F3C8C700304C3746,939B0E1606060606,0,0,True,train
T01_east_level_low,4101,10,0.9,"[-29.5, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0010.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0010.txt,43D7D01AB1C96915B3BCC51DCB62A5773326E8663C33BA3C214B04A24B6B4465,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,FEC9FD2A9FD66407EF7717D4AC85BEBDC6786EFC63DF3F48C49872E1D56FB30B,97939B6E06070607,0,0,True,train
T01_east_level_low,4101,20,1.9,"[-26.72222222222222, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0020.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0020.txt,BB5A6C221C1F93026250626016E8B034B65138AC33C4A1C566ECCBBBF0B846E4,39F82D15E5E0C248A3A3AF9CFA65BECB94DA8E5BBCEBF89E2CE25A7477914B89,83C262A2DEEF14F8E10E879C6E151AAFEE816D8D5189C3D7DA690B06F4658212,66B697935B870F07,1,0,False,train
T01_east_level_low,4101,29,2.8,"[-24.22222222222222, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0029.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0029.txt,851FDCF5CED06FF8BF7178648C0E69CFBC8DD832C1E39FBCC703B6115BB249B6,0A54F25BC5F08C0980E2AFAC08A2136FCFBD8344461688FC009CAC7224EFF667,051D9B96C169E0AB3B055073B57DEC6B1D7DB5D377E7A068666BC395E146F1FE,42663697939A4B07,1,1,False,train
T01_east_level_low,4101,39,3.8,"[-21.444444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0039.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0039.txt,F749958EA8EE550BE1D2B4DA74C39BCDAB8AD1AD30F6359A6EAE98E62B3B8D61,F578705476734E685949FD47D60F3BFB56B008A8B71A81FB553AE5530A733BDB,54EA18A40E7B150F65594F02AB191642C8DCD786743E0A09A570F1FE52D6649B,C75346663633131A,1,1,False,train
T01_east_level_low,4101,48,4.7,"[-18.944444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0048.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0048.txt,1365D6ECD8FEC9349717977B1DC8CFAC57802AC5ED164F119DA7C52E7121B9F8,92D7A20F455065DDA863DCFFC03FAD9C8DEAC83A761A363CFFF77165D4C702FE,F0E145C48578D20833615DC036873FD6E80C1909F1624E173E454A03F3CA9619,96CED2C7C7E73733,1,1,False,train
T01_east_level_low,4101,58,5.7,"[-16.166666666666668, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0058.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0058.txt,969A92F1ECE37F8EBCECCCC70E299ACB81DF490A19E6696A53D64202329DE3F6,3F193DD1698F21027864A9F872E3B891EA47FF3D046FA2A100E92DD072DA4868,B4350A81A354135CCD30BAF3A1F982C5D861846647944B004F15780BEFC47886,B6928E86D3D6C7E7,1,1,False,train
T01_east_level_low,4101,67,6.6,"[-13.666666666666668, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0067.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0067.txt,EC5A69B62AA1FE051CD8F228702E55050082162437BA328B0877C292C82D6090,4EE26EDED4999B49AA5E40C993F7EA92710D72C73C4088E808205D150ACCB3C7,B8F6E08A18C676BAD76DEFA3B8EB1CF18C0E73D5D21D81ED0DE78CD2E6B9D26D,3636B2868E93D3D7,0,1,False,train
T01_east_level_low,4101,77,7.6,"[-10.88888888888889, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0077.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0077.txt,044554AC5DAA996A3E43FC9C1E4786A2A046C2134C8C6410EC43CF4192B42B2B,E44012615955F612427226CB7B323F825EAEEF56668A2E49B47677CCAEE45D24,52A29BB396ED24C22B03D8666D26C5014EBEA9E38D9870FB4488967989A5F65C,92363617330FCF13,0,1,False,train
T01_east_level_low,4101,86,8.5,"[-8.38888888888889, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0086.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0086.txt,BDE6859B4ACA2B5E225717F79E649FF3DE7F394A223E5AE1F50690C64BD3B1E3,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,E240C3A12D04113BC0AC1F8C73765E8E1EC272A7D6CC906FD32023557E4E7210,C62BB3373653330F,0,0,True,train
T01_east_level_low,4101,96,9.5,"[-5.611111111111111, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0096.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0096.txt,5CF067028FD2B9C7774B67B87474B9CF331449C525EA0619AFEF6191937A7F40,928175946F77D063FAD0B19AF4C61071D58953A7DF1B61DB7A4C17AF7BAE1D40,A082215F887FBD4CD7A1C952186FF03C583EE8D42CEE9FDED4AE89699FD4AC81,CAC61E4733373653,1,0,False,train
T01_east_level_low,4101,105,10.4,"[-3.1111111111111143, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0105.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0105.txt,0A8731577940105FBA524B3F61768D1A9797826637CA4E9A83E6D5DABED70116,74C557BF49A600C613DF40FA024907B6AB9B6FC151741D777B80EB5332E7F6D7,9CA1ABE5405CA14EBF85A0AA3F05CC7D0C04E5BA575E2660B092BB62F727DFB6,DADAC28E668713B7,1,1,False,train
T01_east_level_low,4101,115,11.4,"[-0.3333333333333357, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0115.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0115.txt,2F22BDC6777553B88D457E84154538B502D7A3DF08AFC6A639CBD9A588F91361,4CE53A886046FF3254D4ED23D1EBCD4C75FF2F3A4166208FA5ACFD191B14D17D,33FF778C12932F6555F60D17D7613AB70EF5FF3745DEC91932A7ACA34DEB0F42,B2989ACA869B6787,1,1,False,train
T01_east_level_low,4101,124,12.3,"[2.1666666666666643, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0124.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0124.txt,4CF231CED3003E2443FC9AB696EA08735EFD98E9BCADD2661FE1F3862146E0D0,5A3000676AEA4D6FA1E25CB7F45068466C744D7A2EBAEBF1E5AEB8C04650F573,6B46884656F5EAF62E17FD5876460F77AEEBE0A33BA2FAA740FB04A93F681D48,26B298899BCB8F93,1,1,False,train
T01_east_level_low,4101,134,13.3,"[4.944444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0134.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0134.txt,30CA7701266B4E59C15060DB8AAAC0856CF0AF1A2589FC81278540E0114A7D31,B863080DD8CE517C091097BB313DB809D044C5418D7AE14AEC580B77A3281994,2464A2D4A1294D9191A2CAC78C478C512373A82FF6B7D0E6339C48D7632244A8,6EA6363239A9998B,1,1,False,train
T01_east_level_low,4101,143,14.2,"[7.444444444444443, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0143.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0143.txt,E467A1C383BCB4A75810668D60C3CA8B3A899D29A788E446C7466A43BF091FD4,C2DE55A23D09AEE193C14BB82746A32D4D12DC4754D0535290A8131494BD81FB,4618790EC7C37DE73690B679E73B0CFAD787E8491DD1D4CB4BB4EAC93349DEE4,66662AA633333DA9,0,1,False,train
T01_east_level_low,4101,153,15.2,"[10.222222222222221, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0153.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0153.txt,D838DA318F4A9412F6D5836468BCA752C6371E9380F4C3CD76D0EC493A353A73,010F03D460B4ECC43142CF3EBD0947C812DC5F281F633B20D5FFBEFBF222F2C9,4F06921BD6B848413C2B6E10E5191F0D94ACFFDAA7EC4817761BF2BDFD7BC603,4E66E6EF5BA73313,0,1,False,train
T01_east_level_low,4101,162,16.1,"[12.722222222222221, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0162.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0162.txt,46110791719B6A44E0EF6ADD7E6707583ED9C48107E4EE4A803A7426816AD4FD,0825269BC335CE2163D1D57077306811F9098AF9A2A3B9D0B06C06BEB364DA24,7C4A869304ECAA292E48CC2CCA9A438EAD1850FAB34CFC5D6C24B72240CAC9C5,B74F46E6C72B5B27,1,0,False,train
T01_east_level_low,4101,172,17.1,"[15.5, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0172.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0172.txt,2429CF33517169947D66BB747D1FF99B790179E9BBCDE2BE03029C9C061C97EE,A5C3704BCFEE7E2CDC0A1711C6A422926AC2D66F71FB0F787E6EC325B4BD9B89,5037819A2D446CAA06CF7DCC27A85717EE74829E807D08CE20E32B800591BD30,8CB677CE47E7CB6B,1,1,False,train
T01_east_level_low,4101,181,18.0,"[18, -4, 52]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T01_east_level_low__frame_0181.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T01_east_level_low__frame_0181.txt,26BCD55B19725FEC2A0AF4581373E5BF36797478F2A74BCBA8C0B0EB55E53AA6,A51A422F9B2960995BD12C610D789537E6ADF88CA04081FC620A5460225940FF,420339328AA4D215F3189147E363443A4434DF55ACEE92CFCC147CDA207AB17A,A6AC9676C7DFC7E7,1,1,False,train
T02_east_level_high,4102,1,0.0,"[-28, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0001.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0001.txt,C6F15E9B9C56274FF5841AD9C6E63D3F73173DDD5DB493AAC8EC173D2EF1D9F7,1CD4DBF810F575CBA2C6E101D78BD09A7AF8A731C6177372B51DF8DEC6E8FF73,55826427A2197C123BDD0CCC3FB12E10D36AFD88B6A01EC5CD91B78ED0C5E028,297D2DA3B1906060,1,0,False,train
T02_east_level_high,4102,10,0.9,"[-25.6, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0010.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0010.txt,7044FBC53E89FE6510794DDF65FB64AE362379EAB0D3B3C05AA45D36A9A732A2,D330F5FF39EDD3DE151A63ECE7C4AE8103EDD223130D42A2C5F1D93D7A2DF798,4810FCA3275988536AD48096335630697C3BB75F8488EF0E38D8EA70FE17C9E3,52297C24A1B1B070,1,1,False,train
T02_east_level_high,4102,20,1.9,"[-22.933333333333334, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0020.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0020.txt,A009E03F9345252BC27579213E671EDA2EB736ABD24D8641B465D9DB43A8D589,4541F7FD860AF7FF880B724253C70EC072E8276EAA224855D470F08800D7A4BD,3EF5E5180F6E84DD5E7EBB3D94CA52E6CFBDB1D9F7CAC1FB4973342AA13BEB38,B272695C2C24A1B0,1,1,False,train
T02_east_level_high,4102,29,2.8,"[-20.53333333333333, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0029.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0029.txt,3C8871FC0FB613C10BF199A96FA1DCD4B4609C9A25EAF8405122353EF516ED97,87F254C03974DAC92A88753A312A509E1F92FD398975C39DFBC3A26CD5ECB2E1,3D89FA15C3E0967EDC5189CC878D38DB50AB65060F4F2819C392577DB82CCF36,A9B27A6A4D2C24A1,1,1,False,train
T02_east_level_high,4102,39,3.8,"[-17.866666666666667, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0039.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0039.txt,E561CD1CC8F864CF36E3BA8A002E3C88EBB82B31597DBE6F41EA5EAC478D1405,F3D1C859252EE49AAEB328DF25F48AC792C2F4AD8BF5A2CC753114C9EAEADFE0,3AE360251FD2DB1D506789C3EF7F95D4FDB5926E58CB589D1D8FB0A934432097,69A9B2FA686DEC24,1,1,False,train
T02_east_level_high,4102,48,4.7,"[-15.466666666666665, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0048.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0048.txt,99A89CD6E13424910BBD786CD8897D5E7B81FA4A3734AAD0C07EE71C8996560E,23E43F429548978F949DBBBE8BE6287B86302BC1435ACF7248F4B24142A7B66B,35CC2C9C3C258330706D70A4F77ACEADB51EDC83CFC003A0FD5431539B185A8B,2969A9B0F26969CD,1,1,False,train
T02_east_level_high,4102,58,5.7,"[-12.8, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0058.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0058.txt,192D8D0A42103E008BE4082C2BF2F2C3F57CDE08AF14D7DE091F0C9F3F4602BB,F44EC45B644E3A337A9C61F687171A9C91EE736B5F58F643980CE00FE190A669,62511396D90C18E932DDE1027D9BA0FB8AB0DFBACDF05F72E9AB3F38B660EC37,5A29E92D31B26AE9,1,1,False,train
T02_east_level_high,4102,67,6.6,"[-10.400000000000002, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0067.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0067.txt,05457E51EA06F5F24F2218343C9826DAE474B2E3608621B33C535FA20BCFC571,46F574097CAA992158FFFEE7E3010B0F60DA27269DDC2876C6BA4EF7B8120412,5A71858B7E601AE135DADD259B753A8DD08AA2A1AADD16E35C1234065D113397,DA5829ED2D29B16A,1,1,False,train
T02_east_level_high,4102,77,7.6,"[-7.733333333333334, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0077.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0077.txt,DE1411D708C33450290FF6EB99124AFE10E585C27F9C0F5C258AB54A61CFE6B8,14F777449A96374543D6D473C70878663D111EE9A17770040F103920A2027922,EAD7FD2BA7FDFC69DD3E5627FEF105370437BEFE90C966185CF92A96978BFF53,84DA5929E86C6911,1,1,False,train
T02_east_level_high,4102,86,8.5,"[-5.333333333333336, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0086.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0086.txt,32BD4730F99FE66F56DBB770B3FDB8C0F00D2CF1D7C6C79CFA35A51F95CB18FB,0B901A95CDA585DD15DE6C54FF2F2B202630C12AC3D79A870E805282F1D59016,565B3F77452E7356BB2A1F076ABFBF7EEED19310546F0A00FBBC8F481E75F37F,A986DA5929E96C6C,1,1,False,train
T02_east_level_high,4102,96,9.5,"[-2.6666666666666643, 6, 60]",C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\images\train\T02_east_level_high__frame_0096.png,C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\diverse_training_scenario_split\data\diverse_training_scenario_split_v2\dataset\labels\train\T02_east_level_high__frame_0096.txt,8E3C82BD1B3E7A6C692D1692FD40952E5FCC7AAE2F0426444DDE27FF05FDD9EF,10DB5C32BA56A9EFCF18A0F4DE4A69F6A8DF847D1F5AB0FF5AD40CE6ABF3C259,1C8CDBFFFF821E1A993CA170C5C3997C40AA5C004DC91DAFAE40ACA3365C5776,A9A9A6D25969E968,1,1,False,train
