frame_position_zero_based,frame_index_matlab_one_based,object_id,class_name,x,y,width,height,area,center_x,center_y,nonpositive,outside_left,outside_top,outside_right,outside_bottom,any_out_of_bounds,clipped_x,clipped_y,clipped_width,clipped_height,clipped_area
0,1,1,person,357.69671019464863,115.87547867329992,28.848052919602424,53.73865039402314,1550.2554303947932,372.12073665444984,142.7448038703115,False,False,False,False,False,False,357.69671019464863,115.87547867329992,28.848052919602424,53.73865039402314,1550.2554303947932
0,1,2,person,224.429702143942,-50.212074427764236,24.19380371845085,55.454529696803576,1341.6560067834696,236.52660400316742,-22.484809579362448,False,False,True,False,False,True,224.429702143942,0.0,24.19380371845085,5.24245526903934,126.83493378189624
1,2,1,person,355.36051758760465,124.0691083833045,29.03437113382978,53.47750258383638,1552.6856573294465,369.8777031545195,150.8078596752227,False,False,False,False,False,False,355.36051758760465,124.0691083833045,29.03437113382978,53.47750258383638,1552.6856573294465
1,2,2,person,224.32082724385066,-43.548886255065526,24.37932633772604,55.45762538647381,1352.0195472122052,236.5104904127137,-15.820073561828622,False,False,True,False,False,True,224.32082724385066,0.0,24.37932633772604,11.908739131408282,290.32703755545066
2,3,1,person,353.0274831169029,132.51157687918393,29.226528253454035,53.20087355884533,1554.8768341760288,367.6407472436299,159.1120136586066,False,False,False,False,False,False,353.0274831169029,132.51157687918393,29.226528253454035,53.20087355884533,1554.8768341760288
2,3,2,person,224.34101337378743,-36.79975047348063,24.566487537584436,55.45276357216051,1362.2796252200974,236.62425714257967,-9.073368687400375,False,False,True,False,False,True,224.34101337378743,0.0,24.566487537584436,18.653013098679878,458.23901382711847
3,4,1,person,350.70622600462434,141.2076421358597,29.42478420269498,52.90815132600335,1556.8109353311788,365.41861810597186,167.66171779886136,False,False,False,False,False,False,350.70622600462434,141.2076421358597,29.42478420269498,52.90815132600335,1556.8109353311788
3,4,2,person,224.4910624560542,-29.969359738028828,24.755155335168126,55.43975096469222,1372.4196468739929,236.86864012363827,-2.2494842556827166,False,False,True,False,False,True,224.4910624560542,0.0,24.755155335168126,25.470391226663395,630.5234912635558
4,5,1,person,348.40542900582363,150.16198198802712,29.629399351243762,52.59867749291618,1558.4672207848905,363.22012868144554,176.4613207344852,False,False,False,False,False,False,348.40542900582363,150.16198198802712,29.629399351243762,52.59867749291618,1558.4672207848905
4,5,2,person,224.7712839425675,-23.0626592433145,24.945194300243458,55.41841902485561,1382.4232303873318,237.2438810926892,4.646550269113305,False,False,True,False,False,True,224.7712839425675,0.0,24.945194300243458,32.35575978154111,807.1207144825458
5,6,1,person,346.1338230906855,159.37919774654972,29.84063428566219,52.2717445306121,1559.8220120115584,361.0541402335166,185.51507001185576,False,False,False,False,False,False,346.1338230906855,159.37919774654972,29.84063428566219,52.2717445306121,1559.8220120115584
5,6,2,person,225.1814778741615,-16.0848308875874,25.136466187772783,55.38862561349558,1392.274314920837,237.74971096804788,11.609481919160388,False,False,True,False,False,True,225.1814778741615,0.0,25.136466187772783,39.303794725908176,987.9585071789531
6,7,1,person,343.9001725733008,168.86381746334908,30.05874957923095,51.92659304920883,1560.8484569688028,358.92954736291625,194.8271139879535,False,False,False,False,False,False,343.9001725733008,168.86381746334908,30.05874957923095,51.92659304920883,1560.8484569688028
6,7,2,person,225.72091984161685,-9.041274873115583,25.328830618856983,55.3502564514383,1401.9572703687766,238.38533515104535,18.633853352603566,False,False,True,False,False,True,225.72091984161685,0.0,25.328830618856983,46.308981578322715,1172.9523505291045
7,8,1,person,341.7132606204449,178.62029876148793,30.284005558006697,51.56240909523254,1561.5162836242373,356.85526339944823,204.4015033091042,False,False,False,False,False,False,341.7132606204449,178.62029876148793,30.284005558006697,51.56240909523254,1561.5162836242373
7,8,2,person,226.38834808696276,-1.937588709987324,25.52214580739053,55.30322635989364,1411.4570067763289,239.14942099065803,25.714024469959497,False,False,True,False,False,True,226.38834808696276,0.0,25.52214580739053,53.36563764990632,1362.0055852052787
8,9,1,person,339.58187506371496,188.65303115219834,30.516662060752083,51.17832147987335,1561.7915414378244,354.840206094091,214.242191892135,False,False,False,False,False,False,339.58187506371496,188.65303115219834,30.516662060752083,51.17832147987335,1561.7915414378244
8,9,2,person,227.18260451136388,5.22424130190393,25.716088814225657,55.2468602760798,1420.7331655667836,240.0406489184767,32.84767143994383,False,False,False,False,False,False,227.18260451136388,5.22424130190393,25.716088814225657,55.2468602760798,1420.7331655667836
9,10,1,person,337.51479442930815,198.96633776611725,30.75697819033195,50.77339914810199,1561.6363302471916,352.8932835244741,224.35303734016824,False,False,False,False,False,False,337.51479442930815,198.96633776611725,30.75697819033195,50.77339914810199,1561.6363302471916
9,10,2,person,228.10437861462466,12.455934946939038,25.90964650512751,55.17819561283591,1429.647543119356,241.05920186718842,40.04503275335699,False,False,False,False,False,False,228.10437861462466,12.455934946939038,25.90964650512751,55.17819561283591,1429.647543119356
10,11,1,person,335.5207740916419,209.56447643192217,31.005212054112803,50.346648599331445,1561.0085160361728,351.0233801186983,234.7378007315879,False,False,False,False,False,False,335.5207740916419,209.56447643192217,31.005212054112803,50.346648599331445,1561.0085160361728
10,11,2,person,229.14675961924289,19.728301203027854,26.103761745147352,55.10100000205419,1438.3433759729865,242.19864049181655,47.27880120405495,False,False,False,False,False,False,229.14675961924289,19.728301203027854,26.103761745147352,55.10100000205419,1438.3433759729865
11,12,1,person,333.6085324499507,220.45164004193413,31.26162049087293,49.89701137116987,1559.8614331142835,349.23934269538717,245.40014572751906,False,False,False,False,False,False,333.6085324499507,220.45164004193413,31.26162049087293,49.89701137116987,1559.8614331142835
11,12,2,person,230.30622806850923,27.035136746197566,26.298302157539382,55.015331845475984,1446.8098201696262,243.4553791472789,54.54280266893556,False,False,False,False,False,False,230.30622806850923,27.035136746197566,26.298302157539382,55.015331845475984,1446.8098201696262
12,13,1,person,331.7866895550172,231.63319393438883,31.52633182259541,49.423073002663386,1558.1281991743228,347.54985546631485,256.3447304357205,False,False,False,False,False,False,331.7866895550172,231.63319393438883,31.52633182259541,49.423073002663386,1558.1281991743228
12,13,2,person,231.5787056954134,34.37019238928721,26.493138330697008,54.921280035541045,1455.0370692805368,244.8252748607619,61.830832407057734,False,False,False,False,False,False,231.5787056954134,34.37019238928721,26.493138330697008,54.921280035541045,1455.0370692805368
13,14,1,person,330.0636393257788,243.1197924248413,31.79887122798749,48.9220472575625,1555.6658809527485,345.9630749397726,267.5808160536226,False,False,False,False,False,False,330.0636393257788,243.1197924248413,31.79887122798749,48.9220472575625,1555.6658809527485
13,14,2,person,232.95956007561716,41.72720904380492,26.688144696522215,54.81896323805536,1463.0164230105534,246.30363242387827,69.13669066283259,False,False,False,False,False,False,232.95956007561716,41.72720904380492,26.688144696522215,54.81896323805536,1463.0164230105534
14,15,1,person,328.44824337786997,254.90740814662408,32.08026379263947,48.394488314315396,1552.5079512330462,344.4883752741897,279.1046523037818,False,False,False,False,False,False,328.44824337786997,254.90740814662408,32.08026379263947,48.394488314315396,1552.5079512330462
14,15,2,person,234.44361262262277,49.099955550740816,26.88320041549889,54.70852881820271,1470.74034465684,247.8852128303722,76.45421995984216,False,False,False,False,False,False,234.44361262262277,49.099955550740816,26.88320041549889,54.70852881820271,1470.74034465684
15,16,1,person,326.948929128973,266.9998437023613,32.370757214200296,47.839071827829684,1548.586979491364,343.1343077360732,290.91937961627616,False,False,False,False,False,False,326.948929128973,266.9998437023613,32.370757214200296,47.839071827829684,1548.586979491364
15,16,2,person,236.02514998774316,56.48226814248909,27.07819026187306,54.59015140773377,1478.2025062430725,249.5642451186797,83.77734384635598,False,False,False,False,False,False,236.02514998774316,56.48226814248909,27.07819026187306,54.59015140773377,1478.2025062430725
16,17,1,person,325.57401160116257,279.400823095776,32.670596338964856,47.25439853697219,1543.8293798419897,341.909309770645,303.0280223642621,False,False,False,False,False,False,325.57401160116257,279.400823095776,32.670596338964856,47.25439853697219,1543.8293798419897
16,17,2,person,237.6979388915439,63.86809126883105,27.27300550221014,54.46403111616203,1485.3978203036313,251.33444164264898,91.10010682691207,False,False,False,False,False,False,237.6979388915439,63.86809126883105,27.27300550221014,54.46403111616203,1485.3978203036313
17,18,1,person,324.3316772521349,292.11398733991393,32.98002276640108,46.638992450597584,1538.1550328227163,340.8216886353355,315.4334835652127,False,False,False,False,False,False,324.3316772521349,292.11398733991393,32.98002276640108,46.638992450597584,1538.1550328227163
17,18,2,person,239.4552443756857,71.25151949387485,27.46754476055537,54.330391393869476,1492.322457469602,253.1890167559634,98.41671519080958,False,False,False,False,False,False,239.4552443756857,71.25151949387485,27.46754476055537,54.330391393869476,1492.322457469602
18,19,1,person,323.22996704394393,305.1428891777595,33.299274425890246,45.99129920659823,1531.4768934837427,339.879604256889,328.1385387810586,False,False,False,False,False,False,323.22996704394393,305.1428891777595,33.299274425890246,45.99129920659823,1531.4768934837427
18,19,2,person,241.2898514252111,78.62684014858414,27.661714863492932,54.18947656004954,1498.9738492060242,255.12070885695758,105.72157842860891,False,False,False,False,False,False,241.2898514252111,78.62684014858414,27.661714863492932,54.18947656004954,1498.9738492060242
